"Dist Code","Year","State Code","State Name","Dist Name","DISTRICT MALE FIELD LABOUR (Rs per Day)","DISTRICT FEMALE FIELD LABOUR (Rs per Day)","STATE MALE AVERAGE FIELD LABOUR (Rs per Day)","STATE FEMALE AVERAGE FIELD LABOUR (Rs per Day)"
"95","1966","7","Maharashtra","Bombay","-1.0","-1.0","2.3","-1.0"
"95","1967","7","Maharashtra","Bombay","-1.0","-1.0","2.3","-1.0"
"95","1968","7","Maharashtra","Bombay","-1.0","-1.0","2.6","-1.0"
"95","1969","7","Maharashtra","Bombay","-1.0","-1.0","2.7","-1.0"
"95","1970","7","Maharashtra","Bombay","-1.0","-1.0","3.1","-1.0"
"95","1971","7","Maharashtra","Bombay","-1.0","-1.0","3.2","-1.0"
"95","1972","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1973","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1974","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1975","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1976","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1977","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1978","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1979","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1980","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1981","7","Maharashtra","Bombay","-1.0","-1.0","5.79","-1.0"
"95","1982","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1983","7","Maharashtra","Bombay","-1.0","-1.0","-1.0","-1.0"
"95","1984","7","Maharashtra","Bombay","-1.0","-1.0","10.66","-1.0"
"95","1985","7","Maharashtra","Bombay","-1.0","-1.0","11.4","-1.0"
"95","1986","7","Maharashtra","Bombay","-1.0","-1.0","11.0","-1.0"
"95","1987","7","Maharashtra","Bombay","-1.0","-1.0","12.0","-1.0"
"95","1988","7","Maharashtra","Bombay","-1.0","-1.0","13.4","-1.0"
"95","1989","7","Maharashtra","Bombay","-1.0","-1.0","17.6","-1.0"
"96","1966","7","Maharashtra","Thane","3.0","-1.0","2.3","-1.0"
"96","1967","7","Maharashtra","Thane","2.5","1.5","2.6","1.5"
"96","1968","7","Maharashtra","Thane","2.6","1.5","2.7","1.5"
"96","1969","7","Maharashtra","Thane","2.9","-1.0","2.7","-1.0"
"96","1970","7","Maharashtra","Thane","2.9","-1.0","3.1","-1.0"
"96","1971","7","Maharashtra","Thane","2.9","2.5","3.2","2.5"
"96","1972","7","Maharashtra","Thane","2.9","-1.0","-1.0","-1.0"
"96","1973","7","Maharashtra","Thane","3.3","-1.0","-1.0","-1.0"
"96","1974","7","Maharashtra","Thane","3.6","-1.0","-1.0","-1.0"
"96","1975","7","Maharashtra","Thane","3.7","-1.0","-1.0","-1.0"
"96","1976","7","Maharashtra","Thane","3.8","-1.0","-1.0","-1.0"
"96","1977","7","Maharashtra","Thane","4.0","-1.0","-1.0","-1.0"
"96","1978","7","Maharashtra","Thane","4.2","-1.0","-1.0","-1.0"
"96","1979","7","Maharashtra","Thane","5.1","-1.0","-1.0","-1.0"
"96","1980","7","Maharashtra","Thane","5.6","-1.0","-1.0","-1.0"
"96","1981","7","Maharashtra","Thane","6.0","-1.0","5.79","-1.0"
"96","1982","7","Maharashtra","Thane","6.5","-1.0","-1.0","-1.0"
"96","1983","7","Maharashtra","Thane","7.8","-1.0","-1.0","-1.0"
"96","1984","7","Maharashtra","Thane","-1.0","-1.0","10.66","-1.0"
"96","1985","7","Maharashtra","Thane","-1.0","-1.0","11.4","-1.0"
"96","1986","7","Maharashtra","Thane","-1.0","-1.0","11.0","-1.0"
"96","1987","7","Maharashtra","Thane","-1.0","-1.0","12.0","-1.0"
"96","1988","7","Maharashtra","Thane","-1.0","-1.0","13.4","-1.0"
"96","1989","7","Maharashtra","Thane","-1.0","-1.0","17.6","-1.0"
"96","1990","7","Maharashtra","Thane","15.0","-1.0","20.1","-1.0"
"96","1991","7","Maharashtra","Thane","8.0","25.0","22.9","25.0"
"96","1992","7","Maharashtra","Thane","25.0","25.0","23.8","25.0"
"96","1993","7","Maharashtra","Thane","25.0","25.0","28.87","25.0"
"96","1994","7","Maharashtra","Thane","40.0","40.0","35.74","40.0"
"96","1995","7","Maharashtra","Thane","33.45","-1.0","-1.0","-1.0"
"96","1996","7","Maharashtra","Thane","37.17","-1.0","-1.0","-1.0"
"96","1997","7","Maharashtra","Thane","35.05","30.6","45.38","30.6"
"96","1998","7","Maharashtra","Thane","42.79","-1.0","32.21","-1.0"
"96","1999","7","Maharashtra","Thane","45.53","34.98","50.11","34.98"
"96","2000","7","Maharashtra","Thane","46.25","35.94","51.25","35.94"
"96","2001","7","Maharashtra","Thane","51.23","42.56","53.61","42.56"
"96","2002","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0"
"96","2003","7","Maharashtra","Thane","75.0","75.0","57.35","75.0"
"96","2004","7","Maharashtra","Thane","75.0","75.0","51.52","75.0"
"96","2005","7","Maharashtra","Thane","-1.0","-1.0","53.0","-1.0"
"96","2006","7","Maharashtra","Thane","-1.0","-1.0","54.17","-1.0"
"96","2007","7","Maharashtra","Thane","-1.0","-1.0","66.0","-1.0"
"96","2008","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0"
"96","2009","7","Maharashtra","Thane","-1.0","-1.0","-1.0","-1.0"
"97","1966","7","Maharashtra","Raigad","3.8","2.5","2.3","2.5"
"97","1967","7","Maharashtra","Raigad","3.2","2.5","2.6","2.5"
"97","1968","7","Maharashtra","Raigad","3.4","3.0","2.7","3.0"
"97","1969","7","Maharashtra","Raigad","3.7","2.5","2.9","2.5"
"97","1970","7","Maharashtra","Raigad","3.8","2.0","3.1","2.0"
"97","1971","7","Maharashtra","Raigad","3.7","2.0","3.2","2.0"
"97","1972","7","Maharashtra","Raigad","3.8","-1.0","-1.0","-1.0"
"97","1973","7","Maharashtra","Raigad","4.2","-1.0","-1.0","-1.0"
"97","1974","7","Maharashtra","Raigad","4.6","-1.0","-1.0","-1.0"
"97","1975","7","Maharashtra","Raigad","4.8","-1.0","-1.0","-1.0"
"97","1976","7","Maharashtra","Raigad","4.9","-1.0","-1.0","-1.0"
"97","1977","7","Maharashtra","Raigad","5.1","-1.0","-1.0","-1.0"
"97","1978","7","Maharashtra","Raigad","5.4","-1.0","-1.0","-1.0"
"97","1979","7","Maharashtra","Raigad","6.5","-1.0","-1.0","-1.0"
"97","1980","7","Maharashtra","Raigad","7.1","-1.0","-1.0","-1.0"
"97","1981","7","Maharashtra","Raigad","7.7","4.0","5.79","4.0"
"97","1982","7","Maharashtra","Raigad","8.4","-1.0","-1.0","-1.0"
"97","1983","7","Maharashtra","Raigad","10.0","9.0","7.81","9.0"
"97","1984","7","Maharashtra","Raigad","-1.0","-1.0","10.66","-1.0"
"97","1985","7","Maharashtra","Raigad","10.0","9.0","11.36","9.0"
"97","1986","7","Maharashtra","Raigad","-1.0","-1.0","11.0","-1.0"
"97","1987","7","Maharashtra","Raigad","-1.0","-1.0","12.0","-1.0"
"97","1988","7","Maharashtra","Raigad","-1.0","-1.0","13.4","-1.0"
"97","1989","7","Maharashtra","Raigad","-1.0","-1.0","17.6","-1.0"
"97","1990","7","Maharashtra","Raigad","10.0","-1.0","20.1","-1.0"
"97","1991","7","Maharashtra","Raigad","-1.0","-1.0","22.9","-1.0"
"97","1992","7","Maharashtra","Raigad","-1.0","-1.0","23.8","-1.0"
"97","1993","7","Maharashtra","Raigad","33.86","-1.0","28.87","-1.0"
"97","1994","7","Maharashtra","Raigad","34.88","-1.0","35.74","-1.0"
"97","1995","7","Maharashtra","Raigad","42.83","-1.0","-1.0","-1.0"
"97","1996","7","Maharashtra","Raigad","42.56","-1.0","-1.0","-1.0"
"97","1997","7","Maharashtra","Raigad","46.17","-1.0","45.38","-1.0"
"97","1998","7","Maharashtra","Raigad","49.66","-1.0","32.21","-1.0"
"97","1999","7","Maharashtra","Raigad","50.66","38.82","50.11","38.82"
"97","2000","7","Maharashtra","Raigad","51.46","39.58","51.25","39.58"
